City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mar Del Plata,AR,2020-12-02 01:58:21,-38.0,-57.56,66.2,77,0,13.87
70,Vao,NC,2020-12-02 01:58:21,-22.67,167.48,73.98,70,12,11.05
71,Chokurdakh,RU,2020-12-02 01:58:21,70.63,147.92,-2.07,93,92,10.63
72,Lorengau,PG,2020-12-02 01:58:21,-2.02,147.27,85.78,71,75,6.67
73,New Norfolk,AU,2020-12-02 01:58:21,-42.78,147.06,61.0,33,0,14.0
74,Kavaratti,IN,2020-12-02 01:58:21,10.57,72.64,82.72,70,94,12.48
75,Katsuura,JP,2020-12-02 01:58:21,35.13,140.3,51.01,71,75,11.41
76,Bongandanga,CD,2020-12-02 01:58:21,1.5,21.05,71.17,66,97,1.34
77,Boueni,YT,2020-12-02 01:58:21,-12.9,45.08,80.6,78,40,9.17
78,Souillac,MU,2020-12-02 01:58:21,-20.52,57.52,75.2,100,75,5.82
79,Nantucket,US,2020-12-02 01:54:04,41.28,-70.1,53.6,58,90,26.4
80,Fort Nelson,CA,2020-12-02 01:58:15,58.81,-122.7,24.8,92,75,3.36
81,Chuy,UY,2020-12-02 01:58:22,-33.7,-53.46,62.42,83,60,9.93
82,Heihe,CN,2020-12-02 01:55:15,50.24,127.49,1.4,84,0,4.47
83,Ribeira Grande,PT,2020-12-02 01:58:22,38.52,-28.7,62.35,79,100,34.29
84,Atuona,PF,2020-12-02 01:58:22,-9.8,-139.03,78.49,75,1,14.65
85,Avarua,CK,2020-12-02 01:58:22,-21.21,-159.78,82.4,74,7,13.87
86,Bandarbeyla,SO,2020-12-02 01:58:22,9.49,50.81,76.35,81,69,9.06
87,Saint-Philippe,RE,2020-12-02 01:58:22,-21.36,55.77,77.0,78,90,2.24
88,Caravelas,BR,2020-12-02 01:58:22,-17.71,-39.25,76.48,85,28,9.91
89,Derzhavinsk,KZ,2020-12-02 01:58:22,51.1,66.32,0.81,92,67,14.81
90,Lannion,FR,2020-12-02 01:58:22,48.75,-3.42,48.2,70,75,4.7
91,Batticaloa,LK,2020-12-02 01:58:23,7.71,81.69,74.62,95,100,18.9
92,Buluang,PH,2020-12-02 01:58:23,13.31,123.34,86.61,68,100,5.46
93,Narayanpet,IN,2020-12-02 01:58:23,16.73,77.5,67.51,78,100,5.32
94,Jamestown,US,2020-12-02 01:58:23,42.1,-79.24,30.0,92,90,16.11
95,Bathsheba,BB,2020-12-02 01:58:23,13.22,-59.52,78.8,83,20,11.41
96,Chongoyape,PE,2020-12-02 01:55:02,-6.64,-79.39,75.67,58,100,2.75
97,Manama,BH,2020-12-02 01:53:28,26.22,50.58,73.4,78,0,3.36
98,Saint-Augustin,CA,2020-12-02 01:58:23,51.23,-58.65,39.78,91,100,8.52
99,Pokrovsk,UA,2020-12-02 01:58:23,48.28,37.18,32.18,94,100,13.56
100,Dvinskoy,RU,2020-12-02 01:58:23,62.15,45.12,25.84,96,100,8.21
101,Kruisfontein,ZA,2020-12-02 01:58:23,-34.0,24.73,57.99,77,3,3.0
102,Nikolskoye,RU,2020-12-02 01:58:23,59.7,30.79,35.6,80,40,4.47
103,Hambantota,LK,2020-12-02 01:58:23,6.12,81.12,77.0,100,90,3.36
104,Catamarca,AR,2020-12-02 01:58:24,-28.47,-65.79,80.01,70,53,3.0
105,Ilulissat,GL,2020-12-02 01:58:24,69.22,-51.1,17.6,78,99,8.05
106,Aden,YE,2020-12-02 01:55:12,12.78,45.04,78.35,78,2,14.58
107,Mareeba,AU,2020-12-02 01:58:24,-17.0,145.43,89.6,62,75,12.75
