City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Tomatlan,MX,68.77,broken clouds,19.93,-105.25,Norma franco
354,Jieshi,CN,69.01,clear sky,22.81,115.83,Yuehai Hotel
358,Sao Miguel Do Araguaia,BR,73.26,light rain,-13.28,-50.16,Hotel Executivo Palace
359,Nikki,BJ,73.09,scattered clouds,9.94,3.21,Hotel John
361,Ngunguru,NZ,64.0,clear sky,-35.62,174.5,Pacific Rendezvous Motel Resort
362,Lianran,CN,64.0,scattered clouds,24.92,102.48,Jinzhouwan Hotel
366,Adrar,MR,63.45,few clouds,20.5,-10.07,
374,Butembo,CD,64.54,light rain,0.15,29.28,Hotel Butembo
376,Dedza,MW,71.47,clear sky,-14.38,34.33,Kapeleta Dedza Estates
378,Camacha,PT,57.2,light rain,33.08,-16.33,Hotel Porto Santo & Spa
384,Christchurch,NZ,57.0,broken clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
385,Costa Rica,BR,68.97,light rain,-23.42,-54.65,
386,Beja,TN,62.6,scattered clouds,36.73,9.18,HAROUN
388,Santa Maria Da Vitoria,BR,70.54,light rain,-13.39,-44.19,Pousada do Rio Corrente
390,Asyut,EG,57.2,clear sky,27.18,31.18,Florence Hotel Assiut
391,Ribeira Grande,PT,61.43,overcast clouds,38.52,-28.7,Quinta da Meia Eira
392,Awbari,LY,64.29,clear sky,26.59,12.78,فندق أوباري
395,Victoria,HK,69.01,clear sky,22.29,114.16,Mini Hotel Central
403,Hirara,JP,68.0,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
405,Amapa,BR,71.06,overcast clouds,1.0,-52.0,
408,Abnub,EG,57.2,clear sky,27.27,31.15,مسجد الخطبة
411,Esperance,AU,64.4,broken clouds,-33.87,121.9,Hospitality Esperance
414,Mkushi,ZM,72.5,light rain,-13.62,29.39,Divine Lodge Mkushi
418,Tonantins,BR,73.47,overcast clouds,-2.87,-67.8,Hotel Rei Davi
420,Miranda,CO,72.0,light rain,3.25,-76.23,Parqueadero toño lasso
429,Anse-Bertrand,GP,69.8,broken clouds,16.47,-61.51,Le Domharry
431,Shingu,JP,59.0,few clouds,33.73,135.98,Shingu UI Hotel
432,Tocopilla,CL,62.67,clear sky,-22.09,-70.2,Hotel Galvarino
434,Imbituba,BR,71.6,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
437,Ponta Delgada,PT,57.2,few clouds,37.73,-25.67,Vila Nova Hotel
440,Peruibe,BR,72.39,overcast clouds,-24.32,-47.0,Hotel Pousada Xapuri
445,Jalu,LY,59.97,clear sky,29.03,21.55,صاحبة الفخامة
447,Inhambupe,BR,73.29,overcast clouds,-11.78,-38.35,Hotel JVS
450,Mahur,IN,74.17,clear sky,25.17,93.12,CSC MAHUR
451,Zaraza,VE,71.51,clear sky,9.35,-65.32,Hotel Zaraza
456,Tura,IN,73.36,clear sky,25.52,90.22,Hotel RIKMAN Continental
457,Mumbwa,ZM,65.61,light rain,-14.98,27.06,Mumbwa Motel
459,Kagoro,NG,72.97,clear sky,9.6,8.38,Palm Garden Hotel
460,Livingstone,ZM,73.58,light rain,-17.84,25.85,Gloria's Bed and Breakfast
470,Puerto Baquerizo Moreno,EC,70.9,broken clouds,-0.9,-89.6,Hotel los Algarrobos
472,Atar,MR,66.94,overcast clouds,20.52,-13.05,Oumou Elghoura
476,Waddan,LY,61.34,light rain,29.16,16.14,محل الشريف محمد العايب
490,Queanbeyan,AU,68.0,light rain,-35.35,149.23,Parkway Motel
496,Dayong,CN,71.6,clear sky,25.02,118.29,Haiyue Express Hotel
497,Pucallpa,PE,72.77,overcast clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
501,Aguimes,ES,62.6,light intensity drizzle,27.91,-15.45,Hotel Villa de Aguimes
511,Santiago Del Estero,AR,60.01,overcast clouds,-27.8,-64.26,Hotel Urbano
515,Comodoro Rivadavia,AR,57.2,clear sky,-45.87,-67.5,Austral Hotel
520,Sao Gabriel Da Cachoeira,BR,73.08,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
521,Erzin,TR,57.0,overcast clouds,36.96,36.2,Artemis Otel
525,San Juan,AR,65.17,clear sky,-31.54,-68.54,Hotel Provincial
526,Solwezi,ZM,67.46,light rain,-12.17,26.39,Country Lodge Solwezi
527,Lipari,IT,63.0,clear sky,38.47,14.95,Hotel Villa Augustus
532,Rosa Zarate,EC,74.01,light rain,0.33,-79.47,Piscinas y Recepciones Hecalash
543,Upata,VE,75.0,scattered clouds,8.01,-62.4,Posada Villa Nela
549,Keita,NE,68.0,clear sky,14.76,5.77,
551,Kalabo,ZM,71.87,overcast clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
565,Mulbagal,IN,73.56,overcast clouds,13.17,78.4,HOTEL SREE SARAVANA BHAVAN
577,Victor Harbor,AU,64.99,few clouds,-35.57,138.62,Apollon Motor Inn
588,Alenquer,BR,73.4,clear sky,-1.94,-54.74,Josilene Castro
592,Sechura,PE,68.05,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
598,Ocos,GT,64.99,overcast clouds,14.51,-92.19,La Bajadita
600,La Libertad,EC,70.68,overcast clouds,-2.23,-80.9,Playa Canela Hotel Boutique
601,Puerto Del Rosario,ES,64.4,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
602,Waipawa,NZ,59.0,broken clouds,-41.41,175.52,Tora Coastal Walk
605,Colac,AU,64.99,light rain,-38.33,143.58,Otway Gate Motel
606,Santa Cecilia,BR,56.3,light rain,-26.96,-50.43,Hotel Italiano
609,Santa Cruz,BO,73.4,shower rain,-17.8,-63.17,Hotel Cortez
611,Kushima,JP,60.8,few clouds,31.46,131.23,Hanaoka
613,Tahta,EG,59.0,clear sky,26.77,31.5,ماستر تك
616,Maraa,BR,72.95,overcast clouds,-1.83,-65.37,
625,Hatillo,PR,69.01,clear sky,18.49,-66.83,Hotel Parador El Buen Cafe
627,Inirida,CO,72.64,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
628,Komatipoort,ZA,68.0,overcast clouds,-25.43,31.95,Kruger View Backpackers
635,Abadan,IR,64.4,mist,30.34,48.3,Amir Kabir Hotel
636,Topolobampo,MX,55.99,clear sky,25.6,-109.05,Hotel Marina Topolobampo
649,Ajdabiya,LY,58.55,clear sky,30.76,20.23,محل افطومه اللملابس نساء وأطفال
654,Kidal,ML,69.64,few clouds,18.44,1.41,
658,Ocosingo,MX,58.78,overcast clouds,17.07,-92.25,HOTEL CHILUM BANAK CHAWUK
661,Rondonopolis,BR,73.87,light rain,-16.47,-54.64,Serras Hotel
663,Santa Maria,BR,62.29,overcast clouds,-29.68,-53.81,Hotel Morotin
670,Tairua,NZ,60.01,broken clouds,-37.02,175.85,Pacific Harbour Villas
